TIME =  0.26352E+07 NSTEP =       129601

 SPECIES   MOLECULES/CM^3  PPB
RTX24NO3   0.00000E+00 0.00000E+00
RTX22NO3   0.00000E+00 0.00000E+00
CH3OOH     3.75587E+08 8.15643E-02
C2H5OOH    9.18561E+06 1.99479E-03
RN10OOH    3.45289E+05 7.49847E-05
IC3H7OOH   5.55337E+05 1.20600E-04
RN13OOH    4.29005E+05 9.31649E-05
RN16OOH    1.69891E+03 3.68943E-07
RN19OOH    0.00000E+00 0.00000E+00
RA13OOH    4.48158E+04 9.73243E-06
RA16OOH    8.16698E-01 1.77358E-10
RA19OOH    8.19027E-06 1.77864E-15
HOC2H4OOH  1.45096E+05 3.15098E-05
RN9OOH     1.29913E+03 2.82126E-07
RN12OOH    1.67637E+01 3.64048E-09
RN15OOH    1.57228E+02 3.41443E-08
RN18OOH    0.00000E+00 0.00000E+00
CH3CO3H    8.97393E+07 1.94882E-02
C2H5CO3H   1.27240E+06 2.76321E-04
HOCH2CO3H  3.08590E+05 6.70150E-05
RN8OOH     6.94144E+06 1.50744E-03
RN11OOH    5.60194E+05 1.21654E-04
RN14OOH    1.66508E+03 3.61596E-07
RN17OOH    0.00000E+00 0.00000E+00
RU14OOH    4.98035E-50 1.08156E-59
RU12OOH    8.10511E+02 1.76015E-07
RU10OOH    1.31879E+02 2.86395E-08
NRN6OOH    1.59565E-03 3.46520E-13
NRN9OOH    1.62705E-05 3.53339E-15
NRN12OOH   6.79417E-08 1.47546E-17
NRU14OOH   4.15224E-73 9.01720E-83
NRU12OOH   1.44291E-19 3.13350E-29
RTN28OOH   0.00000E+00 0.00000E+00
NRTN28OOH  0.00000E+00 0.00000E+00
RTN26OOH   0.00000E+00 0.00000E+00
RTN25OOH   0.00000E+00 0.00000E+00
RTN24OOH   0.00000E+00 0.00000E+00
RTN23OOH   0.00000E+00 0.00000E+00
RTN14OOH   0.00000E+00 0.00000E+00
RTN10OOH   0.00000E+00 0.00000E+00
RTX28OOH   0.00000E+00 0.00000E+00
RTX24OOH   0.00000E+00 0.00000E+00
RTX22OOH   0.00000E+00 0.00000E+00
NRTX28OOH  0.00000E+00 0.00000E+00
CARB14     3.06386E+03 6.65363E-07
CARB17     0.00000E+00 0.00000E+00
CARB10     9.74763E+01 2.11684E-08
CARB12     2.01404E+02 4.37378E-08
CARB15     0.00000E+00 0.00000E+00
